wiki-it-pulito.txt-estratto.txt-part19.txt.csv-3	Occorrenze
RD	1760185.0
S	5378617.0
FF	1540660.0
V	2571179.0
E	2853479.0
SP	2721667.0
RI	473082.0
E+RD	2001582.0
A	1751985.0
CC	796594.0
VA	542173.0
N	850224.0
FS	1040671.0
B	869302.0
FC	171668.0
V+PC	84026.0
PR	300274.0
DD	99837.0
NO	177438.0
X	98778.0
CS	197124.0
BN	104027.0
PC	272955.0
FB	593907.0
AP	189529.0
VM	71761.0
DI	109412.0
PE	55652.0
PI	71538.0
PQ	3137.0
PD	67578.0
T	31777.0
SW	15520.0
DR	6250.0
V+PC+PC	1997.0
DQ	2710.0
PP	1364.0
VA+PC	2757.0
I	4377.0
PC+PC	221.0
B+PC	190.0
VM+PC	759.0
DE	33.0
VM+PC+PC	29.0
